id,refInterna,nome,concelho,estado,promotor,tipologias,conclusaoAno,conclusaoMes,preco_m2,precoPedido,link,_lat,_lng,isEmpreendimento
boavista-ii,,Boavista II,,concluido,,,2025,12,,,https://www.idealista.pt/empreendimento/32458380/,41.15709128871051,-8.624737520462414,true
pac-man-bulding,,Pac Man Bulding,,em_construcao,,,2026,12,,,https://www.predialmar.pt/empreendimento/pac-man-building/21119410,41.17985479694232,-8.679206874415108,true
o2-maia,,O2 Maia,,em_construcao,,,2025,12,,,https://abbimoveis.com/?jsf=bricks-query-loop&tax=zona:93,41.23864454080866,-8.620794396287629,true
serralves,,Serralves,,em_construcao,,,2027,12,,,https://abbimoveis.com/imobiliario-habitacao/serralves/,41.156927584760425,-8.651765329066805,true
prisma-douro,,Prisma Douro,,em_construcao,,,2026,12,,,https://www.pfarchviz.com/pt/prisma-douro,41.148624643265855,-8.636486060922728,true
torrinha-337,,Torrinha 337,,concluido,,,2025,12,,,https://www.idealista.pt/empreendimento/34509751/,41.152872951803225,-8.623475047464963,true
villa-arpel-sao-roque,,Villa Arpel São Roque,,em_construcao,,,2026,12,,,https://www.idealista.pt/empreendimento/33847018/,41.16505922387608,-8.572239175316545,true
freixo-residence,,Freixo Residence,,em_construcao,,,2026,12,,,https://www.idealista.pt/empreendimento/34509753/,41.1417582236252,-8.572207543200904,true
oceanic-reserve,,Oceanic Reserve,,em_construcao,,,2027,12,,,https://www.oceanicreserve.com/en/,41.25026896346896,-8.717503774440955,true
villas-mearim,,Villas Mearim,,em_construcao,,,2026,12,,,https://prestigerealtyadvisors.pt/imovel/moradias/matosinhos/venda/villas-mearim/,41.18355998977074,-8.685776774444362,true
bow-136,,Bow 136,,em_construcao,,,2026,12,,,https://prestigerealtyadvisors.pt/imovel/empreendimentos/porto/venda/bow-136/,41.1480766291095,-8.66343984560978,true
brito-capelo-1023,,Brito Capelo 1023,,licenciado,,,2028,12,,,https://prestigerealtyadvisors.pt/imovel/empreendimentos/matosinhos/venda/brito-capelo-1023/,41.17906139863145,-8.689093289790566,true
mira-douro,,Mira Douro,,concluido,,,2023,12,,,https://www.promiris.com/pt/projectos/,41.16054615042859,-8.588436603834941,true
oporto-luxury-residences,,Oporto Luxury Residences,,em_construcao,,,2026,12,,,https://www.grupoarliz.pt/oporto-luxury-residences/,41.18023002099672,-8.582827732261805,true
greens-vila-moura,,Greens Vila Moura,,em_construcao,,,,,,,https://www.garveturproperties.com/detalhes-do-empreendimento/empreendimento-greens-vilamoura-apartamentos-t2-a-t5/19762419,37.10728614237546,-8.142323603740383,true
oriental-park,,Oriental Park,,em_construcao,,,2027,12,,,https://prestigerealtyadvisors.pt/imovel/apartamentos/porto/venda/oriental-park/,41.151594459593056,-8.566722564135889,true
matsu,,Matsu,,em_construcao,,,2027,12,,,https://matsuporto.pt/wp-content/uploads/2025/10/MATSU-PORTO_Brochura-Digital_PT.pdf,41.156751813338325,-8.625018954219062,true
vintage-18,,Vintage 18,,em_construcao,,,2026,12,,,https://www.vintage18.pt,41.13222328978224,-8.625819154989989,true
kori-douro,,Kori Douro,,em_construcao,,,2026,12,,,https://douro.kori.com.pt,41.13207754360183,-8.626357537767738,true
